"","year","TL","sd","spp"
"651",1921,4.1977674014366,0.0535193091965604,"BUPE"
"652",1922,4.19959541976277,0.0536246473476352,"BUPE"
"653",1923,4.20167875732672,0.0530783028864077,"BUPE"
"654",1924,4.20395380036785,0.0533303392004063,"BUPE"
"655",1925,4.20617729546151,0.0532762794414037,"BUPE"
"656",1926,4.20944174432669,0.0517710160364278,"BUPE"
"657",1927,4.21201646575533,0.0507290341464204,"BUPE"
"658",1928,4.21370398730791,0.0501851079344924,"BUPE"
"659",1929,4.21494187589871,0.0504591434859103,"BUPE"
"660",1930,4.21623726554487,0.0515876590148521,"BUPE"
"661",1931,4.21747411644673,0.0517775471420991,"BUPE"
"662",1932,4.21897758066523,0.0521790642494278,"BUPE"
"663",1933,4.22037769647782,0.0532500656166315,"BUPE"
"664",1934,4.22250416628206,0.0541213117213895,"BUPE"
"665",1935,4.22484268595752,0.0543132181164907,"BUPE"
"666",1936,4.22666194055016,0.0543250935749304,"BUPE"
"667",1937,4.22877909938516,0.0541801287171957,"BUPE"
"668",1938,4.23081950673664,0.0540832237069182,"BUPE"
"669",1939,4.2339181126752,0.0538551240115979,"BUPE"
"670",1940,4.23667933060796,0.0540079356891949,"BUPE"
"671",1941,4.23977865026158,0.054159166522636,"BUPE"
"672",1942,4.24277018678946,0.0557906385637486,"BUPE"
"673",1943,4.24654384195024,0.0570807554056225,"BUPE"
"674",1944,4.25019609817964,0.0579074801813713,"BUPE"
"675",1945,4.25318442125795,0.0612652909623135,"BUPE"
"676",1946,4.25819781641297,0.0625417753298629,"BUPE"
"677",1947,4.26195255225992,0.0656587183233475,"BUPE"
"678",1948,4.26532231774697,0.0683475532595068,"BUPE"
"679",1949,4.26856398919642,0.0718532777615488,"BUPE"
"680",1950,4.27160480423862,0.0723864456583359,"BUPE"
"681",1951,4.27496715061527,0.0733275681646948,"BUPE"
"682",1952,4.27693822268439,0.0742691212490403,"BUPE"
"683",1953,4.27921339870666,0.0755436041321129,"BUPE"
"684",1954,4.27992205300226,0.0768801921913704,"BUPE"
"685",1955,4.2799582984976,0.0781772506398015,"BUPE"
"686",1956,4.28022442123307,0.0785930792308518,"BUPE"
"687",1957,4.27967703560981,0.0795684996329564,"BUPE"
"688",1958,4.27930402728491,0.0792231653514488,"BUPE"
